Date,supply/active_2y_3y
2018-01-16,10278284.3813995
2018-01-17,10273848.1311521
2018-01-18,10319052.3781587
2018-01-19,10318516.1687783
2018-01-20,10315252.8943944
2018-01-21,10351386.877173
2018-01-22,10280365.7271303
2018-01-23,10298176.984415
2018-01-24,10197764.6132088
2018-01-25,10144533.0857847
2018-01-26,10501570.4666784
2018-01-27,10506450.3240856
2018-01-28,10556474.5390086
2018-01-29,10519258.2202218
2018-01-30,10509730.337781
2018-01-31,10509093.4125429
2018-02-01,10506909.8504585
2018-02-02,10511629.7971842
2018-02-03,10510103.9206602
2018-02-04,10508573.5160041
2018-02-05,10517661.3676889
2018-02-06,10525474.4558718
2018-02-07,10530388.6921435
2018-02-08,10529244.8626015
2018-02-09,10528647.2324056
2018-02-10,10552018.0978656
2018-02-11,10552919.7359652
2018-02-12,10566933.479859
2018-02-13,10575747.2871751
2018-02-14,10583236.1334414
2018-02-15,10580087.6905627
2018-02-16,10580171.5970303
2018-02-17,10583188.3510945
2018-02-18,10584300.2331524
2018-02-19,10585331.1583835
2018-02-20,10585398.6262377
2018-02-21,10583976.7174223
2018-02-22,10598861.7838872
2018-02-23,10601019.1815674
2018-02-24,10603598.9887375
2018-02-25,10606860.6912067
2018-02-26,10608016.435555
2018-02-27,10608139.5643018
2018-02-28,10605619.4533831
2018-03-01,10601553.1554373
2018-03-02,10593159.6712783
2018-03-03,10602809.5785432
2018-03-04,10608671.2185818
2018-03-05,10608200.8469043
2018-03-06,10614951.1001052
2018-03-07,10674329.9149587
2018-03-08,10675743.3802375
2018-03-09,10674559.5937789
2018-03-10,10675596.1727176
2018-03-11,10694965.2872788
2018-03-12,10698261.2151068
2018-03-13,10702362.375773
2018-03-14,10708011.8555767
2018-03-15,10712625.2765741
2018-03-16,10714236.3323417
2018-03-17,10713304.5696737
2018-03-18,10714824.5918874
2018-03-19,10718938.9731368
2018-03-20,10720818.3773403
2018-03-21,10721045.4603852
2018-03-22,10716503.0096549
2018-03-23,10729489.8759286
2018-03-24,10733916.7115815
2018-03-25,10735427.9011776
2018-03-26,10734298.4704384
2018-03-27,10733674.0633973
2018-03-28,10739356.8553356
2018-03-29,10746781.3711662
2018-03-30,11221369.3966703
2018-03-31,11222488.5959348
2018-04-01,11221515.9527733
2018-04-02,11222174.7976169
2018-04-03,11224513.7942715
2018-04-04,11204470.2075307
2018-04-05,11187978.4882244
2018-04-06,11188379.1669694
2018-04-07,11187840.3616282
2018-04-08,11181885.3527217
2018-04-09,11182564.9114031
2018-04-10,11183232.2371658
2018-04-11,11184472.5280787
2018-04-12,11186398.8000024
2018-04-13,11188029.7309292
2018-04-14,11188455.5065128
2018-04-15,11187949.3678847
2018-04-16,11188321.5756856
2018-04-17,11193079.8145543
2018-04-18,11196170.5867937
2018-04-19,11195669.6468055
2018-04-20,11094843.2540589
2018-04-21,11096854.3423392
2018-04-22,11097486.6955115
2018-04-23,11096762.7578301
2018-04-24,11095448.36899
2018-04-25,11095701.3916274
2018-04-26,11094393.3624538
2018-04-27,11094212.779828
2018-04-28,11092177.5083363
2018-04-29,11093805.5395232
2018-04-30,11092416.519739
2018-05-01,11093400.8512802
2018-05-02,11094148.9279168
2018-05-03,11095747.4297316
2018-05-04,11094799.1607666
2018-05-05,11097542.2530109
2018-05-06,11117272.6306012
2018-05-07,11117833.2794258
2018-05-08,11169350.0787483
2018-05-09,11170297.3740151
2018-05-10,11234970.8668927
2018-05-11,11356879.265032
2018-05-12,11362847.8219163
2018-05-13,11366762.8817151
2018-05-14,11372995.3975491
2018-05-15,11373103.8487548
2018-05-16,11373600.8424576
2018-05-17,11374955.1329989
2018-05-18,11377487.2405573
2018-05-19,11378552.2006515
2018-05-20,11385382.8102629
2018-05-21,11359332.2542105
2018-05-22,11355487.8895309
2018-05-23,11721959.2232982
2018-05-24,11742959.3151176
2018-05-25,11742427.5878526
2018-05-26,11748253.8044242
2018-05-27,11750536.9207899
2018-05-28,11653898.9908713
2018-05-29,11652575.5288963
2018-05-30,11654132.3898886
2018-05-31,11653856.2807223
2018-06-01,11655560.0847801
2018-06-02,11660254.5041568
2018-06-03,11663573.9464879
2018-06-04,11664870.8308381
2018-06-05,11674309.5683511
2018-06-06,11673377.4295656
2018-06-07,11675489.6412611
2018-06-08,11676650.4087454
2018-06-09,11676905.1698423
2018-06-10,11668408.8623862
2018-06-11,11669212.8862091
2018-06-12,11670736.3656631
2018-06-13,11670415.5055764
2018-06-14,11679357.5036789
2018-06-15,11686512.0044911
2018-06-16,11689153.5391172
2018-06-17,11692291.9661933
2018-06-18,11693537.3080451
2018-06-19,11695676.7423852
2018-06-20,11698352.5877086
2018-06-21,11751666.633812
2018-06-22,11750199.7340307
2018-06-23,11752056.3751308
2018-06-24,11747506.906892
2018-06-25,11748766.9024738
2018-06-26,11752427.3570977
2018-06-27,11760736.6529682
2018-06-28,11761733.3712276
2018-06-29,11762787.1565593
2018-06-30,11766643.3861322
2018-07-01,11762915.0308542
2018-07-02,11772715.6721206
2018-07-03,11773183.7577438
2018-07-04,11774047.6668563
2018-07-05,11774993.7289235
2018-07-06,11776730.1276188
2018-07-07,11777337.810095
2018-07-08,11778066.3824925
2018-07-09,11777927.5448136
2018-07-10,11779727.669592
2018-07-11,11783899.2101178
2018-07-12,11783231.2308993
2018-07-13,11786160.2115337
2018-07-14,11789011.2166318
2018-07-15,11780022.0710462
2018-07-16,11786770.1864749
2018-07-17,11787062.29564
2018-07-18,11778120.3049582
2018-07-19,11804074.1441818
2018-07-20,12889758.6632322
2018-07-21,12898696.7850871
2018-07-22,12914697.1079438
2018-07-23,12923323.6248649
2018-07-24,12991632.8912523
2018-07-25,13021156.0493619
2018-07-26,13069508.5961665
2018-07-27,14541656.9332443
2018-07-28,14650854.0872913
2018-07-29,7659028.74482915
2018-07-30,7667002.4179352
2018-07-31,7782471.65566117
2018-08-01,7796310.59742244
2018-08-02,7894418.13793952
2018-08-03,8025097.08869904
2018-08-04,8069143.01465917
2018-08-05,8611693.51999942
2018-08-06,8723379.12675839
2018-08-07,8845218.60808723
2018-08-08,8910632.51188675
2018-08-09,9048024.28425476
2018-08-10,9162736.47580433
2018-08-11,9388861.27975457
2018-08-12,9456507.59066074
2018-08-13,9429943.11440949
2018-08-14,9284550.75393838
2018-08-15,8664269.00921864
2018-08-16,8705032.93798284
2018-08-17,8739886.37572325
2018-08-18,8772753.2445718
2018-08-19,8789609.89139812
2018-08-20,8831861.23272678
2018-08-21,8873153.11165293
2018-08-22,8938618.10398274
2018-08-23,8980609.7209989
2018-08-24,9013299.49104854
2018-08-25,8940063.15714389
2018-08-26,8981414.7599823
2018-08-27,9073005.1314484
2018-08-28,9104009.48347172
2018-08-29,9120814.41131711
2018-08-30,9136515.64946889
2018-08-31,9142141.3702154
2018-09-01,9147092.35672151
2018-09-02,9158244.84962748
2018-09-03,9157480.03125778
2018-09-04,8723315.98698738
2018-09-05,8733209.43268655
2018-09-06,8731282.57300782
2018-09-07,8744844.74737686
2018-09-08,8741738.06014736
2018-09-09,8755346.96643217
2018-09-10,8743669.90949386
2018-09-11,8748577.38544868
2018-09-12,8747546.14235621
2018-09-13,8747929.21102595
2018-09-14,8762857.17165795
2018-09-15,8816229.66711091
2018-09-16,8900918.23995668
2018-09-17,8881795.33070329
2018-09-18,8888485.46916076
2018-09-19,8907518.77084241
2018-09-20,8899526.13251721
2018-09-21,8910481.82832229
2018-09-22,8916665.00378389
2018-09-23,8919731.90527999
2018-09-24,8941856.6718263
2018-09-25,8947726.83338884
2018-09-26,8896178.17042235
2018-09-27,8892133.9516294
2018-09-28,8912617.96201957
2018-09-29,8957306.51286255
2018-09-30,8964768.18304929
2018-10-01,8976325.11285468
2018-10-02,9106073.00852548
2018-10-03,9096103.30704848
2018-10-04,9115564.89834196
2018-10-05,9125505.90095946
2018-10-06,9136059.15254383
2018-10-07,9144596.7929126
2018-10-08,9151189.98669426
2018-10-09,9244449.26859956
2018-10-10,9346361.77427703
2018-10-11,9396493.00110538
2018-10-12,10070623.620406
2018-10-13,10072062.528093
2018-10-14,11414710.8990891
2018-10-15,11421983.4296675
2018-10-16,11675614.8330391
2018-10-17,11506715.7790875
2018-10-18,11505565.2284029
2018-10-19,11508168.1759563
2018-10-20,11506529.5541649
2018-10-21,11513761.8300529
2018-10-22,11518217.7818525
2018-10-23,11522272.3506739
2018-10-24,11525112.8044571
2018-10-25,11572327.299905
2018-10-26,11599023.5351973
2018-10-27,11599708.7495496
2018-10-28,11752226.9775682
2018-10-29,11773724.5195835
2018-10-30,11792816.8817189
2018-10-31,11789790.1690151
2018-11-01,11806604.1936824
2018-11-02,11810291.9401474
2018-11-03,11805396.7546672
2018-11-04,11833875.9108094
2018-11-05,11836390.1909216
2018-11-06,11838418.7629074
2018-11-07,11774241.3397472
2018-11-08,11797716.669892
2018-11-09,11776626.6597345
2018-11-10,11771330.2674291
2018-11-11,12144714.8742172
2018-11-12,12154475.7823337
2018-11-13,12042382.1827127
2018-11-14,12054752.5868427
2018-11-15,12051664.325293
2018-11-16,11907408.1940166
2018-11-17,11911177.0151998
2018-11-18,11925591.834355
2018-11-19,11907573.0041766
2018-11-20,11859140.8249921
2018-11-21,11856243.1886698
2018-11-22,11882911.2957952
2018-11-23,11826702.3556676
2018-11-24,11817350.9047065
2018-11-25,11810427.1557503
2018-11-26,11773122.1518468
2018-11-27,11784162.4697606
2018-11-28,11763188.1603677
2018-11-29,11768025.5687834
2018-11-30,9750757.86155933
2018-12-01,9755546.12817219
2018-12-02,10756011.1200261
2018-12-03,10796308.910896
2018-12-04,10793881.8771918
2018-12-05,10880784.9048889
2018-12-06,10853036.8951472
2018-12-07,10846799.1905631
2018-12-08,10867521.6445896
2018-12-09,10821581.0471359
2018-12-10,10792188.9778776
2018-12-11,10800492.2737453
2018-12-12,10789516.5947588
2018-12-13,10779510.7588931
2018-12-14,10765234.6815898
2018-12-15,10723782.7737431
2018-12-16,10713012.5140741
2018-12-17,10739193.0008256
2018-12-18,10744302.3797318
2018-12-19,10732775.5118392
2018-12-20,10730588.2002563
2018-12-21,10742232.1510809
2018-12-22,10749861.1198401
2018-12-23,10740067.5915026
2018-12-24,10667797.5922378
2018-12-25,10670842.1621499
2018-12-26,10677528.7290666
2018-12-27,10659860.8980922
2018-12-28,10680502.0804569
2018-12-29,10825036.5178547
2018-12-30,10832480.3784249
2018-12-31,10844989.3626133
2019-01-01,10863731.2390859
2019-01-02,10858058.4656965
2019-01-03,10861752.7763319
2019-01-04,11071498.0200281
2019-01-05,11055437.0815928
2019-01-06,11059337.2914001
2019-01-07,11059139.834309
2019-01-08,11062659.5789531
2019-01-09,11076786.0671618
2019-01-10,11100341.9656827
2019-01-11,11099366.7771354
2019-01-12,11139291.456019
2019-01-13,11130396.561814
2019-01-14,11126744.952815
2019-01-15,11136438.1421406
2019-01-16,11136725.5653561
2019-01-17,11139198.6797635
2019-01-18,11087993.3248681
2019-01-19,11078708.3416213
2019-01-20,11210074.9456092
2019-01-21,11175357.6473438
2019-01-22,11185825.9896984
2019-01-23,11173257.0727472
2019-01-24,11181777.0054403
2019-01-25,11185755.6765651
2019-01-26,10830552.9110786
2019-01-27,10869541.4507405
2019-01-28,10824891.6145483
2019-01-29,10818404.4170134
2019-01-30,10823788.3076224
2019-01-31,10826712.1528052
2019-02-01,10813793.0498326
2019-02-02,10803189.6982734
2019-02-03,10814401.7396047
2019-02-04,10820587.1324488
2019-02-05,10822534.9356605
2019-02-06,10791746.0842932
2019-02-07,10792011.6660654
2019-02-08,10805387.3072168
2019-02-09,10815850.2163215
2019-02-10,10808061.1916729
2019-02-11,10826928.2101454
2019-02-12,10798747.6842248
2019-02-13,10793819.8092453
2019-02-14,10798004.5121361
2019-02-15,10851477.403355
2019-02-16,10901316.5013343
2019-02-17,10895911.049184
2019-02-18,10921898.3132638
2019-02-19,10940777.3060874
2019-02-20,10960549.2946336
2019-02-21,10905811.6536683
2019-02-22,10892702.3709409
2019-02-23,10903111.0043307
2019-02-24,10903854.9406275
2019-02-25,10926575.2188336
2019-02-26,10938680.9207815
2019-02-27,10983958.5768951
2019-02-28,10996628.7058177
2019-03-01,11068288.4026762
2019-03-02,11106140.7231725
2019-03-03,11123830.7118396
2019-03-04,11160758.7275038
2019-03-05,11182825.6114331
2019-03-06,11202855.7052804
2019-03-07,11155353.5343614
2019-03-08,11167641.8236326
2019-03-09,11171160.4759279
2019-03-10,11205440.7279401
2019-03-11,11213548.8804364
2019-03-12,11224855.8688694
2019-03-13,11241803.6098437
2019-03-14,11282986.6649852
2019-03-15,11300244.1108978
2019-03-16,11383660.1552585
2019-03-17,11434954.5268987
2019-03-18,11447294.5215743
2019-03-19,11518024.0749023
2019-03-20,11748216.7292262
2019-03-21,11777932.7244172
2019-03-22,11802296.1937828
2019-03-23,11846410.6831258
2019-03-24,11968716.1455984
2019-03-25,12029515.3126131
2019-03-26,12692735.8774381
2019-03-27,12712522.1853192
2019-03-28,12753647.0242203
2019-03-29,12755629.1006638
2019-03-30,12805474.142265
2019-03-31,13010247.9293708
2019-04-01,12964526.8859171
2019-04-02,12983049.3513453
2019-04-03,12976895.419962
2019-04-04,13082401.0172738
2019-04-05,13190351.4255325
2019-04-06,13264730.4909283
2019-04-07,13280778.6229654
2019-04-08,13297439.1495822
2019-04-09,13325176.0472186
2019-04-10,13349055.5450813
2019-04-11,13432584.8268348
2019-04-12,13424537.5086255
2019-04-13,13470575.0659912
2019-04-14,13551437.9629839
2019-04-15,13560856.8738995
2019-04-16,13590313.0064203
2019-04-17,13882660.056144
2019-04-18,13894639.0053855
2019-04-19,13935869.4090818
2019-04-20,13940507.7086514
2019-04-21,13960655.2412559
2019-04-22,14008240.5248113
2019-04-23,14015525.9646319
2019-04-24,14196681.7327932
2019-04-25,14208407.8200309
2019-04-26,14231499.9552048
2019-04-27,14241819.1238672
2019-04-28,14284644.3135469
2019-04-29,14313932.2450738
2019-04-30,14338830.5119003
2019-05-01,14368767.4199691
2019-05-02,14379406.7470482
2019-05-03,14404818.8054126
2019-05-04,14429867.0063649
2019-05-05,14500829.0319047
2019-05-06,14517838.4202439
2019-05-07,14871062.9195027
2019-05-08,14842266.2917719
2019-05-09,14889044.8867692
2019-05-10,14914528.2093237
2019-05-11,14837165.2187199
2019-05-12,14850495.8917815
2019-05-13,14868964.8966065
2019-05-14,14824961.1931926
2019-05-15,14846711.3149667
2019-05-16,14881900.1384386
2019-05-17,15050272.7519488
2019-05-18,15082965.0384934
2019-05-19,15070115.60406
2019-05-20,15079841.1095895
2019-05-21,15364135.9884946
2019-05-22,15377021.2353244
2019-05-23,15150189.7974302
2019-05-24,15260547.6359789
2019-05-25,15282556.398618
2019-05-26,15381692.3512172
2019-05-27,15434677.0595857
2019-05-28,15496682.2488778
2019-05-29,15530101.5428697
2019-05-30,15578949.1034941
2019-05-31,15620430.2731605
2019-06-01,15661566.9188067
2019-06-02,15678582.3469781
2019-06-03,15845125.9470561
2019-06-04,15867604.0014712
2019-06-05,15911449.9098247
2019-06-06,15943996.6935787
2019-06-07,15971712.5719487
2019-06-08,16029043.2670565
2019-06-09,16065385.2533577
2019-06-10,16104651.6514099
2019-06-11,16177797.5298529
2019-06-12,16269155.9448363
2019-06-13,16356930.1258721
2019-06-14,16360772.4680008
2019-06-15,16381263.2402189
2019-06-16,16422159.1249307
2019-06-17,16444297.4784126
2019-06-18,16396851.8665368
2019-06-19,16462881.754065
2019-06-20,16485740.5075167
2019-06-21,16462318.7921608
2019-06-22,16539215.1958908
2019-06-23,16565235.4018977
2019-06-24,16619195.5072585
2019-06-25,16634887.8944679
2019-06-26,16718964.5242328
2019-06-27,16738703.4762264
2019-06-28,16614774.0896209
2019-06-29,16650081.5893387
2019-06-30,16837780.0336873
2019-07-01,16856961.7900368
2019-07-02,16851800.6672642
2019-07-03,16895936.1687209
2019-07-04,16918851.4792448
2019-07-05,16954247.5651543
2019-07-06,16960246.8916261
2019-07-07,17034997.8818574
2019-07-08,17039896.7100031
2019-07-09,17090553.483531
2019-07-10,17132249.7190013
2019-07-11,17142265.654019
2019-07-12,17202320.3632244
2019-07-13,17211536.2450708
2019-07-14,17264496.9134234
2019-07-15,17274558.106771
2019-07-16,17301453.649292
2019-07-17,17363980.827875
2019-07-18,17390839.7100236
2019-07-19,17542276.7756437
2019-07-20,16553893.8478345
2019-07-21,16577704.1796947
2019-07-22,16619045.5985988
2019-07-23,16771473.6180151
2019-07-24,16778416.6040186
2019-07-25,16892024.520357
2019-07-26,16880764.837122
2019-07-27,15461669.9784883
2019-07-28,15417323.9889958
2019-07-29,15389218.0591024
2019-07-30,15396204.6653267
2019-07-31,15379974.9517035
2019-08-01,15383519.2870442
2019-08-02,15314031.9654041
2019-08-03,15282095.9957504
